=========================================
N°	jobs	machines    N°	UB   LB
=========================================
VFR10_10_1  10  10  1	1097	797
VFR10_10_2  10  10  2	1146	845
VFR10_10_3  10  10  3	1124	831
VFR10_10_4  10  10  4	1038	769
VFR10_10_5  10  10  5	1093	817
VFR10_10_6  10  10  6	1085	812
VFR10_10_7  10  10  7	1115	839
VFR10_10_8  10  10  8	1113	840
VFR10_10_9  10  10  9	1045	789
VFR10_10_10 10  10  10	1099	832
=========================================
VFR10_15_1  10  15  1	1307	921
VFR10_15_2  10  15  2	1399	988
VFR10_15_3  10  15  3	1398	996
VFR10_15_4  10  15  4	1452	1041
VFR10_15_5  10  15  5	1373	992
VFR10_15_6  10  15  6	1329	964
VFR10_15_7  10  15  7	1445	1049
VFR10_15_8  10  15  8	1443	1048
VFR10_15_9  10  15  9	1428	1058
VFR10_15_10  10  15  10	1461	1085
=========================================
VFR10_20_1  10  20  1	1652	1191
VFR10_20_2  10  20  2	1759	1273
VFR10_20_3  10  20  3	1726	1254
VFR10_20_4  10  20  4	1678	1236
VFR10_20_5  10  20  5	1700	1259
VFR10_20_6  10  20  6	1889	1400
VFR10_20_7  10  20  7	1678	1251
VFR10_20_8  10  20  8	1655	1235
VFR10_20_9  10  20  9	1706	1280
VFR10_20_10  10  20  10	1663	1248
=========================================
VFR10_5_1   10  5   1   695	523
VFR10_5_2   10  5   2	698	556
VFR10_5_3   10  5   3	728	588
VFR10_5_4   10  5   4	697	565
VFR10_5_5   10  5   5	713	578
VFR10_5_6   10  5   6	748	617
VFR10_5_7   10  5   7	728	602
VFR10_5_8   10  5   8	683	568
VFR10_5_9   10  5   9	761	633
VFR10_5_10   10  5   10	664	554
=========================================
VFR20_10_1  20  10  1	1532	1290
VFR20_10_2  20  10  2	1525	1292
VFR20_10_3  20  10  3	1592	1352
VFR20_10_4  20  10  4	1442	1226
VFR20_10_5  20  10  5	1604	1371
VFR20_10_6  20  10  6	1576	1348
VFR20_10_7  20  10  7	1591	1363
VFR20_10_8  20  10  8	1574	1353
VFR20_10_9  20  10  9	1530	1312
VFR20_10_10  20  10  10	1489	1279
=========================================
VFR20_15_1  20  15  1	1936	1525
VFR20_15_2  20  15  2	1905	1526
VFR20_15_3  20  15  3	1798	1453
VFR20_15_4  20  15  4	1813	1466
VFR20_15_5  20  15  5	1875	1517
VFR20_15_6  20  15  6	1960	1587
VFR20_15_7  20  15  7	1933	1566
VFR20_15_8  20  15  8	1822	1477
VFR20_15_9  20  15  9	1940	1575
VFR20_15_10  20  15  10	1861	1511
=========================================
VFR20_20_1  20  20  1	2270	1741
VFR20_20_2  20  20  2	2170	1682
VFR20_20_3  20  20  3	2277	1772
VFR20_20_4  20  20  4	2165	1685
VFR20_20_5  20  20  5	2225	1736
VFR20_20_6  20  20  6	2291	1790
VFR20_20_7  20  20  7	2282	1785
VFR20_20_8  20  20  8	2178	1707
VFR20_20_9  20  20  9	2354	1851
VFR20_20_10  20  20  10	2199	1732
=========================================
VFR20_5_1     20  5  1	1192	1095
VFR20_5_2     20  5  2	1275	1173
VFR20_5_3     20  5  3	1323	1224
VFR20_5_4     20  5  4	1127	1047
VFR20_5_5     20  5  5	1339	1244
VFR20_5_6     20  5  6	1066	994
VFR20_5_7     20  5  7	1154	1078
VFR20_5_8     20  5  8	1102	1030
VFR20_5_9     20  5  9	1317	1231
VFR20_5_10     20  5  10	1243	1164
=========================================
VFR30_10_1  30  10  1	1944	1721
VFR30_10_2  30  10  2	2098	1860
VFR30_10_3  30  10  3	2077	1857
VFR30_10_4  30  10  4	1945	1747
VFR30_10_5  30  10  5	2023	1818
VFR30_10_6  30  10  6	2043	1830
VFR30_10_7  30  10  7	1967	1767
VFR30_10_8  30  10  8	1896	1701
VFR30_10_9  30  10  9	1908	1712
VFR30_10_10  30  10  10	1915	1722
=========================================
VFR30_15_1  30  15  1	2381	1999
VFR30_15_2  30  15  2	2318	1952
VFR30_15_3  30  15  3	2304	1950
VFR30_15_4  30  15  4	2444	2079
VFR30_15_5  30  15  5	2423	2062
VFR30_15_6  30  15  6	2306	1968
VFR30_15_7  30  15  7	2316	1978
VFR30_15_8  30  15  8	2366	2019
VFR30_15_9  30  15  9	2259	1929
VFR30_15_10  30  15  10	2385	2047
=========================================
VFR30_20_1  30  20  1	2643	2119
VFR30_20_2  30  20  1	2835	2284
VFR30_20_3  30  20  1	2783	2265
VFR30_20_4  30  20  1	2680	2213
VFR30_20_5  30  20  1	2672	2205
VFR30_20_6  30  20  1	2715	2245
VFR30_20_7  30  20  1	2712	2244
VFR30_20_8  30  20  1	2812	2328
VFR30_20_9  30  20  9	2795	2318
VFR30_20_10  30  20  10	2805	2329
=========================================
VFR30_5_1  30  5  1	1805	1727
VFR30_5_10  30  5  1	1637	1582
VFR30_5_2  30  5  1	1575	1510
VFR30_5_3  30  5  1	1673	1608
VFR30_5_4  30  5  1	1781	1716
VFR30_5_5  30  5  1	1707	1645
VFR30_5_6  30  5  1	1875	1807
VFR30_5_7  30  5  1	1749	1686
VFR30_5_8  30  5  1	1706	1646
VFR30_5_9  30  5  1	1735	1674
=========================================
VFR40_10_1  40  10  1	2480	2258
VFR40_10_10  40  10  1	2478	2337
VFR40_10_2  40  10  1	2444	2237
VFR40_10_3  40  10  1	2412	2244
VFR40_10_4  40  10  1	2472	2313
VFR40_10_5  40  10  1	2425	2276
VFR40_10_6  40  10  1	2547	2387
VFR40_10_7  40  10  1	2501	2344
VFR40_10_8  40  10  1	2491	2338
VFR40_10_9  40  10  1	2411	2275
=========================================
VFR40_15_1  40  15  1	3011	2624
VFR40_15_10  40  15  1	2945	2625
VFR40_15_2  40  15  1	2821	2491
VFR40_15_3  40  15  1	2906	2572
VFR40_15_4  40  15  1	2919	2576
VFR40_15_5  40  15  1	2945	2615
VFR40_15_6  40  15  1	2805	2494
VFR40_15_7  40  15  1	2868	2555
VFR40_15_8  40  15  1	2900	2578
